NombreEstacion;Parametro;Fecha;Valor;Ciudad;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;1/01/2010 0:00;16.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;2/01/2010 0:00;16.3;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;3/01/2010 0:00;16;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;4/01/2010 0:00;17;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;5/01/2010 0:00;17.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;6/01/2010 0:00;16.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;7/01/2010 0:00;16;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;8/01/2010 0:00;17.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;9/01/2010 0:00;19.3;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;10/01/2010 0:00;19.7;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;11/01/2010 0:00;17.5;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;12/01/2010 0:00;16.5;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;13/01/2010 0:00;18.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;14/01/2010 0:00;16.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;15/01/2010 0:00;18.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;16/01/2010 0:00;19.3;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;17/01/2010 0:00;18.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;18/01/2010 0:00;19.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;19/01/2010 0:00;19.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;20/01/2010 0:00;19.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;21/01/2010 0:00;18.7;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;22/01/2010 0:00;19.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;23/01/2010 0:00;19.7;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;24/01/2010 0:00;18;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;25/01/2010 0:00;18.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;26/01/2010 0:00;18.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;27/01/2010 0:00;18;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;28/01/2010 0:00;19.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;29/01/2010 0:00;19.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;30/01/2010 0:00;17.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;31/01/2010 0:00;18.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;1/02/2010 0:00;18.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;2/02/2010 0:00;19.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;3/02/2010 0:00;20.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;4/02/2010 0:00;18.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;5/02/2010 0:00;20.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;6/02/2010 0:00;20;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;7/02/2010 0:00;16.7;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;8/02/2010 0:00;18.6;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;9/02/2010 0:00;19.8;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;10/02/2010 0:00;19.1;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;11/02/2010 0:00;18.4;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;12/02/2010 0:00;19;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;13/02/2010 0:00;19.2;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;14/02/2010 0:00;20.1;Medellin;;;;
AEROPUERTO OLAYA HERRERA [27015330];Temperatura minima diaria;15/02/2010 0:00;18.3;Medellin;;;;
